College Name,University Name,District,Students,Students Male,Students Female,Teachers,Placement Percentage,Scholarships,Pass Percentage,Attendance Percentage,Infrastructure Score,AI Risk Score,Budget Lakhs,NAAC Grade,Academic Year
VJTI,University of Mumbai,Mumbai,4023,2545,1478,205,88,459,93,91,95,6,469,A++,2022
VJTI,University of Mumbai,Mumbai,4232,1926,2306,198,93,418,97,89,95,7,497,A++,2023
VJTI,University of Mumbai,Mumbai,4354,1915,2439,199,92,452,97,88,97,11,528,A++,2024
VJTI,University of Mumbai,Mumbai,4696,2948,1748,202,96,395,98,89,96,5,545,A++,2025
COEP,COEP Technological University,Pune,3519,2190,1329,195,89,358,92,92,95,13,437,A++,2022
COEP,COEP Technological University,Pune,3937,2281,1656,208,96,416,96,92,94,10,476,A++,2023
COEP,COEP Technological University,Pune,3779,2391,1388,211,96,378,97,90,95,13,505,A++,2024
COEP,COEP Technological University,Pune,4439,2468,1971,212,92,406,93,88,95,8,563,A++,2025
ICT,ICT Mumbai,Mumbai,2139,1024,1115,136,94,285,97,90,97,1,569,A++,2022
ICT,ICT Mumbai,Mumbai,2389,1029,1360,135,100,264,97,90,99,1,571,A++,2023
ICT,ICT Mumbai,Mumbai,2496,1537,959,151,97,264,96,91,99,1,604,A++,2024
ICT,ICT Mumbai,Mumbai,2684,1784,900,155,100,252,100,94,98,5,676,A++,2025
"Smt. Kashibai Navale College of Engineering, Nashik",Shivaji University,Solapur,2067,1178,889,150,50,400,93,69,86,56,146,A+,2022
"Smt. Kashibai Navale College of Engineering, Nashik",Shivaji University,Solapur,2191,1207,984,168,53,399,92,71,86,52,166,A+,2023
"Smt. Kashibai Navale College of Engineering, Nashik",Shivaji University,Solapur,2509,1330,1179,163,55,354,94,68,89,51,171,A+,2024
"Smt. Kashibai Navale College of Engineering, Nashik",Shivaji University,Solapur,2489,1279,1210,157,50,351,96,68,89,53,180,A+,2025
"Government College of Engineering, Nagpur",Dr. Babasaheb Ambedkar Technological University,Nanded,1997,1195,802,94,88,306,73,94,87,38,100,B+,2022
"Government College of Engineering, Nagpur",Dr. Babasaheb Ambedkar Technological University,Nanded,2136,1161,975,92,88,273,76,94,86,35,109,B+,2023
"Government College of Engineering, Nagpur",Dr. Babasaheb Ambedkar Technological University,Nanded,2211,977,1234,84,93,314,72,92,86,34,123,B+,2024
"Government College of Engineering, Nagpur",Dr. Babasaheb Ambedkar Technological University,Nanded,2228,1280,948,97,89,286,76,94,88,38,127,B+,2025
"Sinhgad Institute of Technology, Bandra",Shivaji University,Solapur,2096,1029,1067,85,68,147,86,73,74,44,1223,A+,2022
"Sinhgad Institute of Technology, Bandra",Shivaji University,Solapur,2115,1138,977,77,70,151,86,70,71,41,1334,A+,2023
"Sinhgad Institute of Technology, Bandra",Shivaji University,Solapur,2397,1317,1080,75,66,148,87,71,72,43,1406,A+,2024
"Sinhgad Institute of Technology, Bandra",Shivaji University,Solapur,2293,1008,1285,85,72,160,84,71,74,44,1470,A+,2025
"Sardar Patel College of Engineering, Chandrapur",Dr. Babasaheb Ambedkar Technological University,Akola,1057,666,391,54,81,193,80,78,94,8,175,B++,2022
"Sardar Patel College of Engineering, Chandrapur",Dr. Babasaheb Ambedkar Technological University,Akola,1151,615,536,49,84,179,86,77,95,8,187,B++,2023
"Sardar Patel College of Engineering, Chandrapur",Dr. Babasaheb Ambedkar Technological University,Akola,1142,595,547,56,90,182,86,79,97,8,201,B++,2024
"Sardar Patel College of Engineering, Chandrapur",Dr. Babasaheb Ambedkar Technological University,Akola,1170,508,662,51,90,181,84,77,96,5,199,B++,2025
"Sandip Foundation College of Engineering, Jalgaon 11",Dr. Babasaheb Ambedkar Technological University,Beed,3192,2035,1157,213,81,728,72,88,74,23,1339,A++,2022
"Sandip Foundation College of Engineering, Jalgaon 11",Dr. Babasaheb Ambedkar Technological University,Beed,3682,1940,1742,203,85,657,72,88,71,28,1377,A++,2023
"Sandip Foundation College of Engineering, Jalgaon 11",Dr. Babasaheb Ambedkar Technological University,Beed,3600,1827,1773,202,88,627,73,89,74,25,1446,A++,2024
"Sandip Foundation College of Engineering, Jalgaon 11",Dr. Babasaheb Ambedkar Technological University,Beed,3850,1639,2211,212,90,667,69,89,71,28,1500,A++,2025
"Sardar Patel College of Engineering, Bandra 83",Savitribai Phule Pune University,Pune,5170,2847,2323,350,92,487,88,89,69,79,1134,B+,2022
"Sardar Patel College of Engineering, Bandra 83",Savitribai Phule Pune University,Pune,5727,3577,2150,350,96,492,88,87,68,82,1199,B+,2023
"Sardar Patel College of Engineering, Bandra 83",Savitribai Phule Pune University,Pune,5627,3450,2177,327,90,531,89,87,69,81,1245,B+,2024
"Sardar Patel College of Engineering, Bandra 83",Savitribai Phule Pune University,Pune,6000,3536,2464,338,94,514,92,89,67,81,1347,B+,2025
"Walchand College of Engineering, Wadala",Rashtrasant Tukadoji Maharaj Nagpur University,Bhandara,2209,1188,1021,97,63,301,66,80,86,92,680,A++,2022
"Walchand College of Engineering, Wadala",Rashtrasant Tukadoji Maharaj Nagpur University,Bhandara,2342,1485,857,100,66,304,65,80,88,92,742,A++,2023
"Walchand College of Engineering, Wadala",Rashtrasant Tukadoji Maharaj Nagpur University,Bhandara,2298,1085,1213,93,66,260,67,78,88,91,756,A++,2024
"Walchand College of Engineering, Wadala",Rashtrasant Tukadoji Maharaj Nagpur University,Bhandara,2652,1158,1494,89,70,266,65,77,87,93,828,A++,2025
"Bharti Vidyapeeth College of Engineering, Lonavala",SNDT Women's University,Parbhani,2435,1094,1341,177,91,411,75,93,89,52,798,A+,2022
"Bharti Vidyapeeth College of Engineering, Lonavala",SNDT Women's University,Parbhani,2568,1683,885,178,93,359,75,92,87,53,849,A+,2023
"Bharti Vidyapeeth College of Engineering, Lonavala",SNDT Women's University,Parbhani,2870,1567,1303,172,91,373,76,90,89,50,890,A+,2024
